Kedalaman,Harga
0.1,5500
0.2,11000
0.3,16500
0.4,22000
0.5,27500
0.6,33000
0.7,38500
0.8,44000
0.9,49500
1,55000
1.1,61500
1.2,68000
1.3,74500
1.4,81000
1.5,87500
1.6,94000
1.7,100500
1.8,107000
1.9,113500
2,120000
2.1,127500
2.2,135000
2.3,142500
2.4,150000
2.5,157500
2.6,165000
2.7,172500
2.8,180000
2.9,187500
3,195000
3.1,203500
3.2,212000
3.3,220500
3.4,229000
3.5,237500
3.6,246000
3.7,254500
3.8,263000
3.9,271500
4,280000
4.1,289500
4.2,299000
4.3,308500
4.4,318000
4.5,327500
4.6,337000
4.7,346500
4.8,356000
4.9,365500
5,375000
5.1,385500
5.2,396000
5.3,406500
5.4,417000
5.5,427500
5.6,438000
5.7,448500
5.8,459000
5.9,469500
6,480000
6.1,491500
6.2,503000
6.3,514500
6.4,526000
6.5,537500
6.6,549000
6.7,560500
6.8,572000
6.9,583500
7,595000
7.1,607500
7.2,620000
7.3,632500
7.4,645000
7.5,657500
7.6,670000
7.7,682500
7.8,695000
7.9,707500
8,720000
8.1,733500
8.2,747000
8.3,760500
8.4,774000
8.5,787500
8.6,801000
8.7,814500
8.8,828000
8.9,841500
9,855000
9.1,869500
9.2,884000
9.3,898500
9.4,913000
9.5,927500
9.6,942000
9.7,956500
9.8,971000
9.9,985500
10,1000000
